race_id,competition_id,series_key,country,year,course_id,temp_field,wbgt_field,wbgt_max,total_gain_m,net_gain_m
55,4107507311,malaga_marathon,ESP,2018,1.0,13.3,12.901,19.087,291.4,-0.1
56,1155454381,malaga_marathon,ESP,2019,1.0,12.077,10.722,17.287,291.4,-0.1
57,3338584081,malaga_marathon,ESP,2021,1.0,14.346,12.758,17.877,291.4,-0.1
58,3993933485,malaga_marathon,ESP,2022,1.0,17.222,16.685,20.864,291.4,-0.1
59,1083070726,malaga_marathon,ESP,2023,1.0,13.839,12.678,20.465,291.4,-0.1
60,2434274131,malaga_marathon,ESP,2024,1.0,11.286,10.12,16.905,291.4,-0.1
61,1066982648,malaga_marathon,ESP,2025,1.0,15.064,13.876,16.603,291.4,-0.1
147,3682681383,manchester_marathon,GBR,2019,2.0,9.571,9.02,13.298,72.1,-3.1
148,1760812639,manchester_marathon,GBR,2021,3.0,14.676,13.915,14.543,89.9,-2.8
149,1901134119,manchester_marathon,GBR,2022,3.0,7.231,6.658,7.896,89.9,-2.8
150,1845490878,manchester_marathon,GBR,2023,3.0,10.689,9.811,11.356,89.9,-2.8
151,3624456994,manchester_marathon,GBR,2024,3.0,10.985,9.845,10.579,89.9,-2.8
152,3007942412,manchester_marathon,GBR,2025,4.0,16.316,15.205,16.878,84.4,6.5
2,902787025,melbourne_marathon,AUS,2014,1.0,16.222,15.396,23.34,108.3,3.5
3,421150375,melbourne_marathon,AUS,2015,1.0,14.411,13.243,16.548,108.3,3.5
4,3232075596,melbourne_marathon,AUS,2016,1.0,18.57,15.805,19.007,108.3,3.5
5,1087596641,melbourne_marathon,AUS,2017,1.0,12.39,12.419,18.769,108.3,3.5
6,52477887,melbourne_marathon,AUS,2018,1.0,19.584,16.853,21.102,108.3,3.5
7,3736734110,melbourne_marathon,AUS,2019,1.0,14.092,13.209,18.789,108.3,3.5
8,3283876663,melbourne_marathon,AUS,2021,1.0,15.786,15.774,21.971,108.3,3.5
9,3510592751,melbourne_marathon,AUS,2022,1.0,10.689,11.294,16.42,108.3,3.5
10,3815225840,melbourne_marathon,AUS,2023,1.0,12.795,11.518,14.709,108.3,3.5
11,192728928,melbourne_marathon,AUS,2024,1.0,16.16,13.506,18.71,108.3,3.5
12,2784755915,melbourne_marathon,AUS,2025,1.0,12.314,11.365,15.031,108.3,3.5
242,302016165,milan_marathon,ITA,2022,1.0,7.992,7.154,10.8,63.2,-1.0
243,3162548494,milan_marathon,ITA,2023,1.0,12.652,11.635,17.182,63.2,-1.0
244,1830216539,milan_marathon,ITA,2024,1.0,16.399,16.302,21.775,63.2,-1.0
245,3281399024,milan_marathon,ITA,2025,1.0,15.645,14.206,17.063,63.2,-1.0
153,1171458012,milton_keynes_marathon,GBR,2014,1.0,13.914,13.053,14.911,191.5,-8.3
154,3948136567,milton_keynes_marathon,GBR,2015,1.0,13.043,11.831,14.742,191.5,-8.3
155,2301942660,milton_keynes_marathon,GBR,2016,1.0,13.889,13.127,14.614,191.5,-8.3
156,155335849,milton_keynes_marathon,GBR,2017,1.0,11.197,11.217,12.341,191.5,-8.3
157,785417918,milton_keynes_marathon,GBR,2018,1.0,21.834,19.594,22.081,191.5,-8.3
158,2152745237,milton_keynes_marathon,GBR,2019,1.0,9.281,8.022,9.843,191.5,-8.3
159,33630190,milton_keynes_marathon,GBR,2021,1.0,15.258,15.399,17.924,191.5,-8.3
160,713034261,milton_keynes_marathon,GBR,2022,1.0,12.699,12.512,14.054,191.5,-8.3
161,2868309304,milton_keynes_marathon,GBR,2023,1.0,13.207,13.306,14.99,191.5,-8.3
162,1435930603,milton_keynes_marathon,GBR,2024,1.0,14.056,14.45,15.15,191.5,-8.3
163,3588253894,milton_keynes_marathon,GBR,2025,1.0,10.4,8.922,10.698,191.5,-8.3
215,2009472988,munich_marathon,GER,2018,1.0,15.906,14.385,18.719,77.9,1.1
216,2858199549,munich_marathon,GER,2019,1.0,15.719,14.848,20.404,77.9,1.1
217,1972432205,munich_marathon,GER,2021,1.0,6.144,5.902,10.999,77.9,1.1
218,663509585,munich_marathon,GER,2022,1.0,9.58,9.808,12.753,77.9,1.1
219,2299303418,munich_marathon,GER,2023,1.0,17.655,14.552,16.957,77.9,1.1
220,2140827395,munich_marathon,GER,2024,1.0,13.397,12.218,12.963,77.9,1.1
221,3508183208,munich_marathon,GER,2025,1.0,11.879,11.978,12.755,77.9,1.1
164,3061562093,newport_marathon,GBR,2018,1.0,8.062,7.753,9.05,55.4,0.2
165,1994657347,newport_marathon,GBR,2019,1.0,10.188,9.322,10.33,55.4,0.2
166,3323862237,newport_marathon,GBR,2021,1.0,12.864,12.166,13.604,55.4,0.2
167,1976163379,newport_marathon,GBR,2023,1.0,11.589,10.62,11.712,55.4,0.2
168,3443372984,newport_marathon,GBR,2024,2.0,9.426,8.55,10.963,24.4,-0.1
169,497307022,newport_marathon,GBR,2025,2.0,12.168,10.849,11.738,24.4,-0.1
388,4060389817,nyc_marathon,USA,2014,1.0,7.363,5.342,6.959,242.3,-7.5
389,1920091796,nyc_marathon,USA,2015,1.0,14.26,12.531,16.496,242.3,-7.5
390,124666148,nyc_marathon,USA,2016,1.0,12.937,10.299,10.861,242.3,-7.5
391,2266539529,nyc_marathon,USA,2017,1.0,13.675,13.052,14.598,242.3,-7.5
392,3303764439,nyc_marathon,USA,2018,1.0,11.936,11.447,12.803,242.3,-7.5
393,426887158,nyc_marathon,USA,2019,1.0,9.356,8.087,10.096,242.3,-7.5
394,2732387983,nyc_marathon,USA,2021,1.0,8.636,8.445,11.536,242.3,-7.5
395,2765787317,nyc_marathon,USA,2022,1.0,21.292,20.439,21.637,242.3,-7.5
396,615282584,nyc_marathon,USA,2023,1.0,14.502,14.055,15.975,242.3,-7.5
397,3434545416,nyc_marathon,USA,2024,1.0,9.384,8.314,10.493,242.3,-7.5
398,1647824547,nyc_marathon,USA,2025,1.0,11.717,11.441,13.305,242.3,-7.5
326,2828819676,oslo_marathon,NOR,2016,1.0,16.133,14.866,17.241,315.8,0.4
327,102536055,oslo_marathon,NOR,2017,1.0,14.624,14.065,16.106,315.8,0.4
328,1796828207,oslo_marathon,NOR,2018,1.0,13.552,12.232,14.439,315.8,0.4
329,1681481160,oslo_marathon,NOR,2019,1.0,16.667,15.683,20.471,315.8,0.4
330,187206989,oslo_marathon,NOR,2022,1.0,14.866,12.652,14.034,315.8,0.4
331,2779267814,oslo_marathon,NOR,2023,1.0,14.745,14.805,15.584,315.8,0.4
332,2986318646,oslo_marathon,NOR,2024,1.0,14.003,14.003,15.33,315.8,0.4
333,528438429,oslo_marathon,NOR,2025,1.0,16.197,16.054,17.368,315.8,0.4
81,1941795527,paris_marathon,FRA,2014,1.0,14.835,13.913,16.66,285.6,2.1
82,2020119325,paris_marathon,FRA,2015,1.0,11.103,10.665,15.892,285.6,2.1
83,2444002841,paris_marathon,FRA,2016,1.0,14.318,14.213,18.656,285.6,2.1
84,3178878831,paris_marathon,FRA,2017,2.0,15.256,14.389,21.193,123.8,3.7
85,4270457009,paris_marathon,FRA,2018,2.0,15.958,15.139,18.166,123.8,3.7
86,1317487475,paris_marathon,FRA,2019,3.0,5.241,4.685,7.794,131.0,7.6
87,1339811129,paris_marathon,FRA,2021,4.0,9.41,8.907,14.137,125.9,4.0
88,840456072,paris_marathon,FRA,2022,4.0,4.287,3.097,5.977,125.9,4.0
89,2627246115,paris_marathon,FRA,2023,5.0,8.264,7.568,8.863,137.8,10.2
90,1292817014,paris_marathon,FRA,2024,5.0,16.327,15.432,17.737,137.8,10.2
91,1188770732,paris_marathon,FRA,2025,6.0,14.27,13.499,15.277,132.9,4.4
24,3102160461,prague_marathon,CZE,2014,1.0,13.814,12.535,13.238,104.4,-0.3
25,3223891485,prague_marathon,CZE,2015,1.0,12.827,12.309,15.633,104.4,-0.3
