race_id,series_key,country,year,v_point,n_j,temp_field,wbgt_field,wbgt_max,total_gain_m,net_gain_m
213,hannover_marathon,GER,2024,-0.020784759937013526,163,13.351,11.464,12.325,28.4,2.0
214,hannover_marathon,GER,2025,-0.025094653164049432,133,6.566,5.097,7.412,28.4,2.0
215,munich_marathon,GER,2018,0.018141734390391295,202,15.906,14.385,18.719,77.9,1.1
216,munich_marathon,GER,2019,0.03348196080195975,188,15.719,14.848,20.404,77.9,1.1
217,munich_marathon,GER,2021,-0.008712488597055474,156,6.144,5.902,10.999,77.9,1.1
218,munich_marathon,GER,2022,-0.0009929217905155373,200,9.58,9.808,12.753,77.9,1.1
219,munich_marathon,GER,2023,0.019684195537730233,187,17.655,14.552,16.957,77.9,1.1
220,munich_marathon,GER,2024,-0.0033709915102551912,166,13.397,12.218,12.963,77.9,1.1
221,munich_marathon,GER,2025,-0.008166880271188693,58,11.879,11.978,12.755,77.9,1.1
222,athens_marathon,GRE,2024,0.029384248306439327,94,14.691,12.467,14.226,318.5,56.4
223,athens_marathon,GRE,2025,0.052647729664721386,73,21.186,20.707,22.345,318.5,56.4
230,dublin_marathon,IRL,2014,0.004919650447724115,74,15.843,15.424,16.015,182.6,-5.2
231,dublin_marathon,IRL,2015,-0.01061276261395919,155,12.993,11.937,13.28,182.6,-5.2
232,dublin_marathon,IRL,2016,-0.012801346546932268,136,11.236,10.828,14.674,182.6,-5.2
233,dublin_marathon,IRL,2017,-0.0005219023405494395,191,12.015,10.973,11.716,182.6,-5.2
234,dublin_marathon,IRL,2018,-0.017365005563774644,153,7.076,6.082,8.623,182.6,-5.2
235,dublin_marathon,IRL,2019,-0.02078680851958791,127,6.17,5.94,10.144,182.6,-5.2
236,dublin_marathon,IRL,2022,-0.012365574180694809,108,13.51,12.468,14.174,182.6,-5.2
237,dublin_marathon,IRL,2023,-0.018717504693970242,124,9.522,9.304,12.094,182.6,-5.2
238,dublin_marathon,IRL,2024,-0.014614008023771762,104,7.771,6.44,10.384,182.6,-5.2
239,dublin_marathon,IRL,2025,-0.0156264876035739,103,7.758,6.893,11.595,182.6,-5.2
240,florence_marathon,ITA,2024,-0.0191706821749265,656,7.717,5.996,11.342,66.0,1.1
241,florence_marathon,ITA,2025,-0.01896044878992092,488,4.137,2.746,10.99,66.0,1.1
242,milan_marathon,ITA,2022,-0.01835741297022596,430,7.992,7.154,10.8,63.2,-1.0
243,milan_marathon,ITA,2023,0.005499750224752714,481,12.652,11.635,17.182,63.2,-1.0
244,milan_marathon,ITA,2024,0.01035386179025727,561,16.399,16.302,21.775,63.2,-1.0
245,milan_marathon,ITA,2025,0.01497796379538024,470,15.645,14.206,17.063,63.2,-1.0
246,rome_marathon,ITA,2021,0.023698685082535424,614,24.307,23.17,25.58,92.0,-4.2
247,rome_marathon,ITA,2022,0.011080734745874362,679,15.756,13.364,18.124,92.0,-4.2
248,rome_marathon,ITA,2023,0.002912096954678311,897,12.705,12.515,15.644,92.0,-4.2
249,rome_marathon,ITA,2024,0.02694819921666019,900,13.412,13.811,19.673,92.0,-4.2
250,rome_marathon,ITA,2025,0.010579784337455335,1052,12.881,11.527,13.025,92.0,-4.2
251,venice_marathon,ITA,2023,0.0327662804826528,389,17.909,18.76,20.432,30.1,-6.6
252,venice_marathon,ITA,2024,0.023647509441221022,308,18.062,18.267,20.908,30.1,-6.6
253,venice_marathon,ITA,2025,0.011250816104199467,325,14.13,14.666,17.072,30.1,-6.6
285,tokyo_marathon,JPN,2015,-0.02231654057844257,567,6.381,5.603,8.085,59.4,-37.8
286,tokyo_marathon,JPN,2016,-0.003553087184415237,939,10.75,9.323,10.292,59.4,-37.8
287,tokyo_marathon,JPN,2017,0.0024917672916621517,1282,9.455,9.253,11.56,55.5,-21.4
288,tokyo_marathon,JPN,2018,-0.0034763799601732117,1810,6.087,4.58,6.011,55.5,-21.4
289,tokyo_marathon,JPN,2019,-0.0037464539366587274,2616,6.213,4.866,6.522,55.5,-21.4
290,tokyo_marathon,JPN,2022,-0.023161183136766277,108,10.166,7.15,8.365,43.2,-28.3
291,tokyo_marathon,JPN,2023,-0.001793847128925179,6014,9.944,8.188,9.536,43.2,-28.3
292,tokyo_marathon,JPN,2024,-0.0030835886436890855,6181,9.364,7.657,10.092,43.2,-28.3
293,tokyo_marathon,JPN,2025,0.017470849524347756,5701,16.066,14.473,16.82,43.2,-28.3
302,amsterdam_marathon,NED,2016,-0.004990305607711671,141,12.068,11.531,16.729,41.3,0.9
303,amsterdam_marathon,NED,2017,0.009364113975166725,609,15.297,15.222,20.28,41.3,0.9
304,amsterdam_marathon,NED,2018,-0.010540154938308855,670,12.022,10.92,14.277,41.3,0.9
305,amsterdam_marathon,NED,2019,-0.009997021065100059,797,10.78,10.935,14.023,41.3,0.9
306,amsterdam_marathon,NED,2021,-0.015650427873866442,448,10.584,9.306,11.616,41.3,0.9
307,amsterdam_marathon,NED,2022,-0.0012688827780019192,797,14.703,13.713,16.068,41.3,0.9
308,amsterdam_marathon,NED,2023,-0.026880322964836386,761,8.617,8.069,9.755,41.3,0.9
309,amsterdam_marathon,NED,2024,-0.009068007623765315,640,14.5,13.909,15.135,41.3,0.9
310,amsterdam_marathon,NED,2025,-0.0305271537850129,967,9.056,8.503,13.671,41.3,0.9
311,eindhoven_marathon,NED,2017,-0.020471904051394253,139,13.525,13.494,14.329,30.9,-1.9
312,eindhoven_marathon,NED,2018,0.021678625818218205,161,20.692,18.049,20.09,30.9,-1.9
313,eindhoven_marathon,NED,2019,0.022142883925974743,167,19.451,18.789,21.092,30.9,-1.9
314,eindhoven_marathon,NED,2021,-0.0139272449626154,126,10.498,11.91,15.871,30.9,-1.9
315,eindhoven_marathon,NED,2022,-0.018251360077178386,198,12.196,11.715,15.282,30.9,-1.9
316,eindhoven_marathon,NED,2023,-0.014300463100556098,214,16.849,17.101,18.614,30.9,-1.9
317,eindhoven_marathon,NED,2024,-0.03333925308362073,278,10.719,9.557,10.766,30.9,-1.9
318,eindhoven_marathon,NED,2025,-0.03496725094718616,161,14.375,13.312,14.402,30.9,-1.9
