slug,mrc,nu,param,cell_a,cell_b,pearson,spearman,max_abs
WA_M_14-25_mrc5,5,8.0,v,aging,full,0.978718264557064,0.9744704493367593,0.01789195458183383
WA_M_14-25_mrc5,5,8.0,v,drift,full,0.909657346162841,0.9227029654837141,0.03984025207812501
WA_M_14-25_mrc5,5,8.0,u,baseline,drift,0.9872338089036831,0.9861323243430525,0.1400081597691134
WA_M_14-25_mrc5,5,8.0,u,baseline,full,0.9673066481382002,0.9547621742726492,0.13120678935465868
WA_M_14-25_mrc5,5,8.0,u,aging,baseline,0.9812317141570556,0.9680590774795103,0.0627366473468065
WA_M_14-25_mrc5,5,8.0,u,aging,drift,0.9786996030400461,0.9714109279816286,0.15648689656620185
WA_M_14-25_mrc5,5,8.0,u,aging,full,0.9916872974257775,0.9943038104382749,0.14383243140586366
WA_M_14-25_mrc5,5,8.0,u,drift,full,0.9813603233746235,0.9698604547005405,0.061388365030213166
WA_W_14-25_mrc2,2,8.0,v,baseline,drift,0.9509885500854339,0.9595253122360994,0.030305510498066866
WA_W_14-25_mrc2,2,8.0,v,baseline,full,0.9775132842032312,0.9758318147473222,0.015582164090864128
WA_W_14-25_mrc2,2,8.0,v,aging,baseline,0.984819172318763,0.9802088981732523,0.014058005010936634
WA_W_14-25_mrc2,2,8.0,v,aging,drift,0.9493314803976071,0.9569154184630427,0.02761904022287886
WA_W_14-25_mrc2,2,8.0,v,aging,full,0.9842147492285963,0.9823423263256146,0.0176160026320565
WA_W_14-25_mrc2,2,8.0,v,drift,full,0.9613977080362842,0.9719205298013247,0.031584528428186445
