cohort,sex,n_floor,x,dens,lo,hi,n_draws
ALL,M,5,1.9951707099037508,0.0762847544379019,0.07303612035824428,0.07924734161118889,200
ALL,M,5,2.0537073681844813,0.071920423811437,0.06881052567665813,0.07497603492773668,200
ALL,M,5,2.112244026465212,0.06776814846101077,0.06506910601161543,0.07090501929084428,200
ALL,M,5,2.1707806847459423,0.06381775346765696,0.061426662980305025,0.06643016139577411,200
ALL,M,5,2.229317343026673,0.060009426667680686,0.057607633063939255,0.062400047021468966,200
ALL,M,5,2.2878540013074042,0.056277490269519295,0.05403145544038327,0.058540278295187397,200
ALL,M,5,2.3463906595881348,0.05259736329649083,0.050470499072111416,0.054879275828115186,200
ALL,M,5,2.4049273178688653,0.04900331169911835,0.04673299037835505,0.05141950583262831,200
ALL,M,5,2.463463976149596,0.04556855211454036,0.04328258301973588,0.04789234018841993,200
ALL,M,5,2.5220006344303263,0.04236798829923041,0.04042140284622732,0.044774894588003905,200
ALL,M,5,2.580537292711057,0.039451649085458784,0.037602872166484606,0.041812777944410316,200
ALL,M,5,2.639073950991788,0.03684026672890962,0.034869627209639015,0.03912402007041908,200
ALL,M,5,2.6976106092725187,0.034533574231648594,0.03254061322713128,0.03657800913332889,200
ALL,M,5,2.7561472675532492,0.03251645007426435,0.030532283866571436,0.03453230110490686,200
ALL,M,5,2.8146839258339797,0.030757901018865528,0.02883262444239047,0.03270804516896861,200
ALL,M,5,2.8732205841147103,0.029208826291606045,0.027267305158124568,0.031057430062523098,200
ALL,M,5,2.9317572423954417,0.027806036438966692,0.02575127683592074,0.02959430375205501,200
ALL,M,5,2.990293900676172,0.026483605273224763,0.024474874074791445,0.028155922793827858,200
ALL,M,5,3.0488305589569027,0.02518627497920523,0.02324379612810752,0.02690856825126497,200
ALL,M,5,3.107367217237633,0.023878743142898614,0.022088485300526126,0.02569734438648954,200
ALL,M,5,3.1659038755183637,0.022548400988116016,0.020762674644760726,0.02415213992010862,200
ALL,M,5,3.2244405337990942,0.021202861480856545,0.019546667835935463,0.022840810926792104,200
ALL,M,5,3.2829771920798256,0.01986425577831394,0.01825858798698485,0.021399487509229567,200
ALL,M,5,3.341513850360556,0.018561048528413667,0.017108669878835133,0.02008533983839493,200
ALL,M,5,3.4000505086412867,0.01731833933180635,0.015843010364980745,0.01888234061880074,200
ALL,M,5,3.458587166922017,0.016149721272001857,0.014649697170620753,0.017721041159297558,200
ALL,M,5,3.5171238252027477,0.015054515094833175,0.013618845629404215,0.01662674705341446,200
ALL,M,5,3.575660483483479,0.01402144159707213,0.012711808559564334,0.015618649856098713,200
ALL,M,5,3.6341971417642096,0.013035948961030783,0.011850336224074868,0.014776837240815393,200
ALL,M,5,3.69273380004494,0.01208724642680456,0.010991759727609728,0.013745675275793618,200
ALL,M,5,3.7512704583256706,0.011172714226531872,0.010146265722766206,0.012636275699331817,200
ALL,M,5,3.809807116606401,0.010298920640927125,0.009327253908162995,0.011703559630532087,200
ALL,M,5,3.8683437748871317,0.009478906484039073,0.00842928340699235,0.010872608918618978,200
ALL,M,5,3.926880433167863,0.008726391192299841,0.007731949261489753,0.010016179884170053,200
ALL,M,5,3.9854170914485927,0.008049800859164402,0.006994385240309585,0.009091185951801736,200
ALL,M,5,4.043953749729324,0.007450110719559719,0.006462242790005478,0.008414494212260329,200
ALL,M,10,-4.0926417512922395,0.00969639297285126,0.006675513565043927,0.012682954051253807,200
ALL,M,10,-4.034105093011509,0.01027244495635603,0.007097016620589172,0.01317641093658399,200
ALL,M,10,-3.975568434730778,0.010932520288404485,0.00767410967665296,0.014051725283527255,200
ALL,M,10,-3.9170317764500475,0.01172325796554664,0.008405497899795111,0.01497225685002886,200
ALL,M,10,-3.858495118169317,0.012667360459353847,0.009094461255759672,0.01621948304993071,200
ALL,M,10,-3.799958459888586,0.013757795343121047,0.009895459030415358,0.017062944591194024,200
ALL,M,10,-3.7414218016078555,0.014961358065868532,0.011247131519513738,0.01855111464433425,200
ALL,M,10,-3.682885143327125,0.016229970099587404,0.012497039080859118,0.01994951438731568,200
ALL,M,10,-3.624348485046394,0.01751561994484124,0.013448379691012372,0.021236829736811923,200
ALL,M,10,-3.5658118267656636,0.018784147667708806,0.014557342616072787,0.022449844536029058,200
ALL,M,10,-3.5072751684849326,0.02002421211874046,0.01565653136343843,0.023765550145170716,200
ALL,M,10,-3.448738510204202,0.021250042115082777,0.016533058907260933,0.024754281544482976,200
ALL,M,10,-3.3902018519234716,0.022498840922168563,0.017665031740727193,0.026267582370702716,200
ALL,M,10,-3.3316651936427406,0.023825040247329662,0.018868106153144458,0.028077021785652464,200
ALL,M,10,-3.27312853536201,0.025293634996724657,0.020380266895923628,0.02994868581174948,200
ALL,M,10,-3.214591877081279,0.026973902557712346,0.021799518795555094,0.03172408061798806,200
ALL,M,10,-3.1560552188005486,0.02893366382644975,0.023912053209350408,0.03422617843874243,200
ALL,M,10,-3.097518560519818,0.031233593438599962,0.025938410157117862,0.037041562491801926,200
