label,slice_A,slice_B,model,series_key,country,year,race_id,n_j_A,n_j_B,v_A,v_B,dv,r,r_min_at_3h,sd_boot,z,n_boot,rank_A,rank_B,d_rank,flag
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,belfast_marathon,GBR,2017,99,74,27,0.02372,0.029454,-0.005734,-0.005507,-0.991209,0.012169,0.452536,4000,310,325,15,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,edinburgh_marathon,GBR,2022,131,852,490,0.006477,0.006177,0.0003,0.001598,0.287638,0.00354,0.451465,4000,229,229,0,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,belfast_marathon,GBR,2015,97,151,45,0.017457,0.010348,0.00711,0.005208,0.937378,0.011765,0.442626,4000,281,264,-17,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,edinburgh_marathon,GBR,2014,125,418,161,-0.008595,-0.014585,0.005991,0.002745,0.494125,0.006266,0.438115,4000,135,99,-36,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,lisbon_marathon,POR,2024,337,59,22,0.018253,0.012251,0.006002,0.005668,1.020254,0.012944,0.437899,4000,288,266,-22,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,london_marathon,GBR,2021,142,6631,4163,0.005175,0.006135,-0.00096,0.000551,0.099157,0.001279,0.430688,4000,222,226,4,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,eindhoven_marathon,NED,2025,318,795,158,-0.033466,-0.032856,-0.00061,-0.00206,-0.370863,0.004878,0.422383,4000,2,1,-1,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,paris_marathon,FRA,2022,88,8194,2023,-0.017784,-0.017482,-0.000302,0.001055,0.189942,0.002575,0.409868,4000,46,31,-15,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,belfast_marathon,GBR,2025,106,147,55,-0.007801,-0.003838,-0.003963,-0.004897,-0.881545,0.012166,0.402546,4000,140,173,33,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,munich_marathon,GER,2022,218,878,232,-0.005422,-0.002799,-0.002623,-0.001489,-0.268013,0.003755,0.396561,4000,158,167,9,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,yorkshire_marathon,GBR,2021,171,404,215,-0.002995,-0.003458,0.000464,0.001965,0.353707,0.004956,0.396464,4000,175,157,-18,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,malaga_marathon,ESP,2024,60,1358,324,-0.016304,-0.015592,-0.000712,-0.001238,-0.222808,0.003277,0.377706,4000,64,60,-4,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,chester_marathon,GBR,2022,121,573,292,-0.000272,-0.000608,0.000336,0.001479,0.266304,0.003963,0.37328,4000,188,182,-6,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,paris_marathon,FRA,2023,89,10006,2579,-0.023236,-0.021366,-0.00187,-0.001,-0.180066,0.002701,0.370368,4000,20,15,-5,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,dublin_marathon,IRL,2023,237,155,74,-0.016776,-0.014251,-0.002525,-0.002047,-0.368383,0.005619,0.364192,4000,62,62,0,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,valencia_marathon,ESP,2024,79,8396,1476,-0.013079,-0.01299,-9e-05,-0.000577,-0.103784,0.001588,0.363187,4000,94,85,-9,False
